id,__run_id,__done,msg_type,msg_interval,msg_size,exec_time,cli
250,run_249_repetition_0,TODO,Vector3Stamped,0.2,2,120,2
252,run_251_repetition_0,TODO,Vector3Stamped,0.2,3,120,2
254,run_253_repetition_0,TODO,Vector3Stamped,0.5,1,120,2
256,run_255_repetition_0,TODO,Vector3Stamped,0.5,2,120,2
258,run_257_repetition_0,TODO,Vector3Stamped,0.5,3,120,2
260,run_259_repetition_0,TODO,Vector3Stamped,1.0,1,120,2
262,run_261_repetition_0,TODO,Vector3Stamped,1.0,2,120,2
264,run_263_repetition_0,TODO,Vector3Stamped,1.0,3,120,2
265,run_264_repetition_0,DONE,Float64MultiArray,0.1,1,120,1
266,run_265_repetition_0,DONE,Float64MultiArray,0.1,1,120,2
267,run_266_repetition_0,DONE,Float64MultiArray,0.1,2,120,1
268,run_267_repetition_0,DONE,Float64MultiArray,0.1,2,120,2
269,run_268_repetition_0,DONE,Float64MultiArray,0.1,3,120,1
270,run_269_repetition_0,DONE,Float64MultiArray,0.1,3,120,2
271,run_270_repetition_0,DONE,Float64MultiArray,0.2,1,120,1
272,run_271_repetition_0,DONE,Float64MultiArray,0.2,1,120,2
273,run_272_repetition_0,DONE,Float64MultiArray,0.2,2,120,1
274,run_273_repetition_0,DONE,Float64MultiArray,0.2,2,120,2
275,run_274_repetition_0,DONE,Float64MultiArray,0.2,3,120,1
276,run_275_repetition_0,DONE,Float64MultiArray,0.2,3,120,2
277,run_276_repetition_0,DONE,Float64MultiArray,0.5,1,120,1
278,run_277_repetition_0,DONE,Float64MultiArray,0.5,1,120,2
279,run_278_repetition_0,DONE,Float64MultiArray,0.5,2,120,1
280,run_279_repetition_0,DONE,Float64MultiArray,0.5,2,120,2
281,run_280_repetition_0,DONE,Float64MultiArray,0.5,3,120,1
282,run_281_repetition_0,DONE,Float64MultiArray,0.5,3,120,2
283,run_282_repetition_0,DONE,Float64MultiArray,1.0,1,120,1
284,run_283_repetition_0,DONE,Float64MultiArray,1.0,1,120,2
285,run_284_repetition_0,DONE,Float64MultiArray,1.0,2,120,1
286,run_285_repetition_0,DONE,Float64MultiArray,1.0,2,120,2
287,run_286_repetition_0,DONE,Float64MultiArray,1.0,3,120,1
288,run_287_repetition_0,DONE,Float64MultiArray,1.0,3,120,2
289,run_288_repetition_0,TODO,TwistStamped,0.1,1,120,1
290,run_289_repetition_0,TODO,TwistStamped,0.1,1,120,2
291,run_290_repetition_0,TODO,TwistStamped,0.1,2,120,1
292,run_291_repetition_0,TODO,TwistStamped,0.1,2,120,2
293,run_292_repetition_0,TODO,TwistStamped,0.1,3,120,1
294,run_293_repetition_0,TODO,TwistStamped,0.1,3,120,2
295,run_294_repetition_0,TODO,TwistStamped,0.2,1,120,1
296,run_295_repetition_0,TODO,TwistStamped,0.2,1,120,2
297,run_296_repetition_0,TODO,TwistStamped,0.2,2,120,1
298,run_297_repetition_0,TODO,TwistStamped,0.2,2,120,2
